Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Eritrea,38.4042195122,39.0607073171,39.6793414634,40.2455853659,40.7544634146,41.2078536585,41.6176585366,42.0032926829,42.3822195122,42.7619512195,43.147097561,43.5367804878,43.9261219512,44.3082195122,44.6826097561,45.0457560976,45.3960487805,45.7313902439,46.051195122,46.3569268293,46.6471463415,46.9209512195,47.181902439,47.4350243902,47.6882195122,47.9483414634,48.2211463415,48.513,48.8313658537,49.1842682927,49.5819268293,50.034097561,50.5405609756,51.0949756098,51.6898292683,52.308,52.929195122,53.5376341463,54.1266585366,54.6972682927,55.2650487805,55.8567317073,56.493097561,57.1847804878,57.9248536585,58.6977804878,59.4759268293,60.2301219512,60.9377073171,61.5871219512,62.1758536585,62.7119268293,63.2129268293,63.694902439,64.1633902439,64.6243902439
Spain,69.1092682927,69.4804878049,69.5190243902,69.6812195122,70.3997560976,70.8092682927,71.0551219512,71.2529268293,71.537804878,71.0575609756,72.0273170732,71.6302439024,72.8180487805,72.6107317073,72.9697560976,73.3187804878,73.6426829268,74.1319512195,74.2956097561,74.8187804878,75.3492682927,75.5285365854,76.1341463415,75.9090243902,76.2953658537,76.2595121951,76.5104878049,76.7280487805,76.7470731707,76.8136585366,76.8375609756,76.9712195122,77.41,77.5465853659,77.9014634146,77.9807317073,78.1204878049,78.6041463415,78.6658536585,78.7170731707,78.9658536585,79.3682926829,79.5682926829,79.6195121951,79.8707317073,80.1707317073,80.8219512195,80.8731707317,81.1756097561,81.4756097561,81.6268292683,82.4756097561,82.4268292683,83.0780487805,83.2292682927,83.3804878049
Estonia,67.902902439,68.360804878,68.7410243902,69.0535609756,69.3099268293,69.5176341463,69.681195122,69.8021219512,69.8829268293,69.928097561,69.937097561,69.9053414634,69.8328292683,69.7245853659,69.5902195122,69.4413170732,69.2900243902,69.1469512195,69.0262682927,68.9385853659,68.9056341463,68.9780487805,69.1268292683,69.3756097561,69.2780487805,69.3804878049,70.0853658537,70.643902439,70.6975609756,70.0390243902,69.4756097561,69.3731707317,68.8634146341,67.9097560976,66.5,67.543902439,69.612195122,69.8097560976,69.3585365854,70.0634146341,70.4170731707,70.2585365854,70.9048780488,71.3170731707,71.9097560976,72.5682926829,72.6914634146,72.8146341463,73.7707317073,74.8243902439,75.4292682927,76.2292682927,76.3268292683,77.1414634146,77.0341463415,77.1317073171
Ethiopia,38.4057073171,39.0686341463,39.6986585366,40.277804878,40.7975609756,41.2554634146,41.6559756098,42.0150487805,42.3441707317,42.6492926829,42.9344146341,43.2034878049,43.4550243902,43.6835365854,43.8840243902,44.0340243902,44.1060731707,44.0936829268,44.0073658537,43.8726097561,43.739902439,43.6696585366,43.7078780488,43.8814878049,44.196,44.629902439,45.1436829268,45.6784146341,46.1921219512,46.6663170732,47.0995609756,47.5053658537,47.9132439024,48.3472195122,48.8127804878,49.3045121951,49.8094390244,50.3185609756,50.8317804878,51.3605853659,51.9338292683,52.585902439,53.3386829268,54.1996341463,55.1612195122,56.2089268293,57.3188292683,58.4500243902,59.5611219512,60.622195122,61.6018536585,62.4766341463,63.2485853659,63.9241707317,64.506902439,65.0082926829
European Union,69.2800110346,69.5899252456,69.5152347226,69.7599887819,70.2267517139,70.337569388,70.5680797886,70.6779970911,70.7241396805,70.6796112292,70.998736904,71.1069088891,71.4150695061,71.5353613949,71.8261230216,71.9220031616,72.1265729962,72.4103023106,72.5252774301,72.7693201368,72.8640580017,73.2032443635,73.4647457,73.5278945163,73.8029765905,73.8772264956,74.1452460017,74.3883797492,74.5780802892,74.7439504336,74.8687448098,74.9688885071,75.2879500552,75.3946368284,75.6906296727,75.8152652547,76.067310143,76.3609223891,76.5957831876,76.8252369519,77.1586111879,77.4931243049,77.6058448153,77.6934518262,78.1929634494,78.3648164791,78.7389572584,78.9682122639,79.183052898,79.4411194064,79.7247496249,80.2397665067,80.2510983094,80.5325582677,80.9222240747,81.1263925007
Fragile and conflict affected situations,40.6471208011,41.165258875,41.7049457722,42.2717807312,42.8652680981,43.4790547846,44.1017296685,44.7180539263,45.3157922681,45.8894131354,46.4372295597,46.9631783356,47.4736093582,47.9708884972,48.451917059,48.9119249486,49.344121963,49.7474994912,50.1278471738,50.4946905803,50.8594706949,51.3401068059,51.7233543049,52.1161274049,52.513584758,52.9057480571,53.2827174341,53.6374166165,53.9507062788,54.2279284661,54.5676676731,54.7691499053,54.9399546508,55.0919115511,55.2341300497,55.3753353359,55.5239571986,55.6864491388,55.8612383012,56.0504240788,56.2949781181,56.5788216401,56.9056776778,57.2724253067,57.6729861826,58.0993190147,58.5424919074,58.9898407371,59.4289147212,59.850706823,60.2512456371,60.631893658,61.0001217705,61.3599510601,61.710158994,62.0493553537
Finland,68.8197560976,68.8441463415,68.577804878,69.0126829268,69.2209756098,68.977804878,69.4770731707,69.6665853659,69.6163414634,69.5034146341,70.1795121951,70.0175609756,70.7073170732,71.2236585366,71.1348780488,71.6736585366,71.8129268293,72.3502439024,72.8970731707,73.1553658537,73.44,73.7465853659,74.2980487805,74.2009756098,74.5190243902,74.2229268293,74.56,74.5919512195,74.5770731707,74.792195122,74.8131707317,75.2275609756,75.4553658537,75.7051219512,76.3956097561,76.4095121951,76.6934146341,76.8785365854,77.0907317073,77.2912195122,77.4658536585,77.9658536585,78.1195121951,78.3682926829,78.7146341463,78.8170731707,79.2146341463,79.2634146341,79.5682926829,79.7195121951,79.8707317073,80.4707317073,80.6268292683,80.9756097561,81.1804878049,81.3853658537
Fiji,55.9584878049,56.3927317073,56.8174634146,57.2321707317,57.6388536585,58.0360243902,58.426195122,58.8083414634,59.1824878049,59.5486097561,59.9062439024,60.2523902439,60.5880243902,60.9121463415,61.2262195122,61.5321707317,61.8329756098,62.1295853659,62.4239756098,62.7176585366,63.0086341463,63.2964634146,63.5781707317,63.8533414634,64.1199756098,64.379097561,64.6297073171,64.8732926829,65.1113414634,65.3438536585,65.5708536585,65.7933170732,66.0112439024,66.2241463415,66.4335365854,66.638902439,66.8402439024,67.0375609756,67.2308536585,67.4201219512,67.6058536585,67.788,67.967097561,68.1431463415,68.3176829268,68.4917804878,68.668,68.845902439,69.0270243902,69.2088536585,69.3908536585,69.5695121951,69.7437317073,69.9114390244,70.0711219512,70.2242682927
France,69.8682926829,70.1170731707,70.3146341463,70.5146341463,70.6634146341,70.812195122,70.9609756098,71.1609756098,71.3097560976,71.4585365854,71.6585365854,71.9073170732,72.1073170732,72.356097561,72.6048780488,72.8536585366,73.1024390244,73.3512195122,73.6024390244,73.8512195122,74.0512195122,74.3,74.5,74.8,75,75.3,75.6,75.8,76.1,76.3487804878,76.6,76.8487804878,77.1,77.3,77.6487804878,77.7512195122,77.9536585366,78.3048780488,78.6048780488,78.756097561,79.056097561,79.1585365854,79.2609756098,79.1146341463,80.1634146341,80.1634146341,80.812195122,81.112195122,81.2146341463,81.4146341463,81.6634146341,82.1146341463,81.9682926829,82.2195121951,82.6707317073,82.6707317073
Faroe Islands,,,,,,,,,,,,,,74.4975609756,,,,,75.9853658537,,,,,,,,75.2658536585,75.4658536585,75.7146341463,75.9146341463,76.1146341463,76.3634146341,76.6146341463,76.9146341463,77.1658536585,77.3658536585,77.6170731707,77.8219512195,78.0268292683,78.2317073171,78.4365853659,78.6414634146,78.843902439,78.943902439,79.1414634146,79.2902439024,79.587804878,79.8365853659,80.1365853659,80.387804878,80.6390243902,80.9390243902,81.1902439024,81.4414634146,81.4853658537,81.6341463415
"Micronesia, Fed. Sts.",57.5865853659,57.9855853659,58.3835853659,58.7815853659,59.1795853659,59.5785853659,59.9815853659,60.3875853659,60.7975853659,61.2115853659,61.6335853659,62.0705853659,62.5205853659,62.9755853659,63.4265853659,63.8545853659,64.2395853659,64.5675853659,64.8335853659,65.0365853659,65.1835853659,65.2895853659,65.3735853659,65.4535853659,65.5395853659,65.6365853659,65.7455853659,65.8585853659,65.9725853659,66.0845853659,66.1975853659,66.3101219512,66.4226585366,66.5357073171,66.6482439024,66.7597560976,66.8677073171,66.9716097561,67.072902439,67.1726341463,67.2752439024,67.3863170732,67.5083414634,67.6423170732,67.7862682927,67.9346097561,68.0813170732,68.2183414634,68.342195122,68.4524146341,68.5505609756,68.6422195122,68.7339756098,68.8308536585,68.934902439,69.0466341463
Gabon,39.5701219512,39.9280487805,40.374,40.9249512195,41.5854146341,42.3443902439,43.1793658537,44.0523414634,44.9333170732,45.803804878,46.6552682927,47.4867560976,48.3107317073,49.1347073171,49.9586829268,50.7851463415,51.6146097561,52.4470731707,53.2810243902,54.1129756098,54.9489512195,55.7979268293,56.6549512195,57.506,58.329097561,59.0927560976,59.7609512195,60.3106829268,60.7274634146,61.0053170732,61.1457560976,61.1617804878,61.0854390244,60.9472195122,60.7686829268,60.5578536585,60.3132926829,60.038,59.7489512195,59.4740487805,59.251804878,59.121195122,59.1055853659,59.2178536585,59.4637804878,59.8425609756,60.3398780488,60.9221219512,61.552804878,62.2050243902,62.8565365854,63.4886829268,64.0953414634,64.6708780488,65.2030243902,65.6844146341
United Kingdom,71.1268292683,70.8780487805,70.9268292683,70.8268292683,71.6243902439,71.6243902439,71.5731707317,72.1243902439,71.7243902439,71.7219512195,71.9731707317,72.2731707317,72.1243902439,72.3243902439,72.5243902439,72.7243902439,72.7756097561,73.2243902439,73.1756097561,73.2756097561,73.6756097561,74.0268292683,74.1780487805,74.3780487805,74.7780487805,74.6292682927,74.9292682927,75.2804878049,75.3804878049,75.5829268293,75.8804878049,76.0829268293,76.4341463415,76.3853658537,76.8853658537,76.8365853659,77.087804878,77.2109756098,77.1902439024,77.3902439024,77.7414634146,77.9926829268,78.143902439,78.4463414634,78.7463414634,79.0487804878,79.2487804878,79.4487804878,79.6,80.0512195122,80.4024390244,80.9512195122,80.9048780488,81.0048780488,81.3048780488,81.6048780488
Georgia,63.4318536585,63.8318536585,64.2343414634,64.6388292683,65.041804878,65.4367804878,65.8187560976,66.1822439024,66.5257317073,66.8492195122,67.1592195122,67.466195122,67.7771707317,68.0911219512,68.4025853659,68.6945609756,68.9435853659,69.1356585366,69.2662926829,69.3394878049,69.3762439024,69.4040243902,69.4492926829,69.5280487805,69.6412439024,69.7748536585,69.900804878,69.9926341463,70.0353414634,70.0324634146,69.9996097561,69.9608292683,69.9477317073,69.9823414634,70.0756829268,70.2357560976,70.4660487805,70.7474634146,71.057902439,71.3817560976,71.6933902439,71.9706829268,72.1985609756,72.3695121951,72.4810487805,72.535195122,72.5424878049,72.5250731707,72.5031219512,72.4897317073,72.4980487805,72.5361707317,72.6036341463,72.6984634146,72.8206341463,72.9661219512
Ghana,45.8314634146,46.2667073171,46.6825365854,47.0784390244,47.4533658537,47.8076341463,48.1409756098,48.4552439024,48.7564146341,49.0480731707,49.3349756098,49.6219512195,49.9122926829,50.2072926829,50.5095121951,50.8139512195,51.1154634146,51.4098292683,51.6972926829,51.9817804878,52.2717804878,52.5783170732,52.9104390244,53.2736829268,53.6704878049,54.1097073171,54.6026829268,55.1373170732,55.6936341463,56.2471707317,56.7516341463,57.1572682927,57.4367804878,57.579804878,57.5948292683,57.5027073171,57.3407804878,57.1642439024,57.0239268293,56.9537073171,56.985097561,57.1386097561,57.3999268293,57.7501463415,58.1753414634,58.6520243902,59.1512195122,59.6438780488,60.1060243902,60.5236341463,60.8937317073,61.2207804878,61.5243170732,61.8203170732,62.1137804878,62.4072439024
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,34.8863902439,35.0811219512,35.2603902439,35.4251707317,35.5809268293,35.7316097561,35.8816097561,36.0384390244,36.2115853659,36.4100731707,36.6434878049,36.9204390244,37.242,37.6092439024,38.0246829268,38.4832682927,38.9769512195,39.4996341463,40.0502682927,40.630804878,41.2587804878,41.9557073171,42.7311707317,43.583195122,44.4963658537,45.4547317073,46.4353414634,47.405195122,48.3293170732,49.178195122,49.9188536585,50.5273414634,51.004097561,51.3555365854,51.5875853659,51.6967073171,51.6838780488,51.5780243902,51.4224634146,51.2645365854,51.173804878,51.2228536585,51.4445365854,51.8504634146,52.433902439,53.1569268293,53.9562439024,54.7575121951,55.5015853659,56.1635609756,56.7432439024,57.2606585366,57.7611219512,58.2796097561,58.824902439,59.3989512195
"Gambia, The",32.0422195122,32.3256341463,32.661097561,33.062097561,33.5376341463,34.093195122,34.7322439024,35.4432682927,36.2112439024,37.0241707317,37.8705609756,38.7374146341,39.6137560976,40.4901219512,41.3569756098,42.2103658537,43.0532682927,43.8886829268,44.720097561,45.5420243902,46.3509512195,47.1448536585,47.9182439024,48.6616341463,49.3680243902,50.0194390244,50.6004390244,51.1075121951,51.543195122,51.9169512195,52.2457317073,52.5515121951,52.8562195122,53.1793414634,53.529902439,53.9109512195,54.3185853659,54.7378780488,55.1568292683,55.5704146341,55.9780243902,56.381,56.7812195122,57.1786341463,57.5717317073,57.9565853659,58.3283170732,58.6845609756,59.0229512195,59.3435121951,59.6457317073,59.9305609756,60.2013902439,60.4621707317,60.7138536585,60.9574390244
Guinea-Bissau,37.8404390244,38.1432926829,38.4672195122,38.8137073171,39.1812682927,39.5658780488,39.9600243902,40.3571707317,40.7508536585,41.1395121951,41.5216829268,41.899902439,42.2791707317,42.6624634146,43.0516829268,43.4487317073,43.8569268293,44.273195122,44.6960243902,45.1204634146,45.5386097561,45.9436341463,46.3297317073,46.6945365854,47.0396341463,47.368,47.6880243902,48.0076097561,48.3347073171,48.6723902439,49.0242926829,49.3935121951,49.7752439024,50.1610731707,50.544097561,50.9124878049,51.2489756098,51.547902439,51.8070243902,52.0304634146,52.2270487805,52.4115609756,52.602,52.8121707317,53.0510487805,53.321902439,53.6232439024,53.947804878,54.2866829268,54.638195122,55.0005365854,55.3736585366,55.7577804878,56.1496585366,56.5482195122,56.9503902439
Equatorial Guinea,36.7330487805,37.0324878049,37.3324146341,37.6318292683,37.9317317073,38.2316341463,38.5315609756,38.8320487805,39.1330487805,39.4355853659,39.7311463415,40.0137073171,40.2822439024,40.5447317073,40.8136829268,41.1160731707,41.4868780488,41.9426097561,42.4853170732,43.1024878049,43.7637073171,44.4254878049,45.0453902439,45.593902439,46.0630243902,46.457195122,46.7978536585,47.1214390244,47.4584146341,47.8212926829,48.2216097561,48.6599268293,49.1252926829,49.605804878,50.0934878049,50.5808536585,51.0599512195,51.5232195122,51.9646097561,52.3806097561,52.7641463415,53.1117073171,53.4292439024,53.7237073171,54.0020243902,54.2795609756,54.5702195122,54.8829756098,55.2218780488,55.5849756098,55.9589512195,56.3260243902,56.6683414634,56.978,57.2555365854,57.5083902439
Greece,68.163902439,68.5486341463,68.8922682927,69.1857073171,69.4294390244,69.638,69.8374634146,70.0524634146,70.3025609756,70.5892926829,70.9036341463,71.2265609756,71.535,71.8148536585,72.0646341463,72.2937073171,72.5195609756,72.7616585366,73.0310731707,73.3293658537,73.6471463415,73.9694878049,74.279,74.5658536585,74.8291219512,75.0785121951,75.3297073171,75.5981463415,75.8912439024,76.687804878,76.9390243902,77.1365853659,77.3829268293,77.3902439024,77.6390243902,77.5853658537,77.6853658537,78.1365853659,77.8390243902,77.987804878,77.887804878,78.387804878,78.6414634146,78.8414634146,79.0390243902,79.2390243902,79.4390243902,79.4390243902,79.9390243902,80.187804878,80.387804878,80.7317073171,80.6341463415,81.2853658537,81.4365853659,81.587804878
Grenada,59.8159268293,60.2495121951,60.6695853659,61.0761707317,61.4707560976,61.8528292683,62.2229268293,62.5815365854,62.9281707317,63.2642926829,63.5904390244,63.907097561,64.2137560976,64.5119268293,64.8005853659,65.0822439024,65.3554146341,65.6195853659,65.8772682927,66.1269512195,66.3696585366,66.6053658537,66.8355853659,67.0592926829,67.2780243902,67.4907560976,67.6984878049,67.9007317073,68.0974878049,68.2897560976,68.4750243902,68.653804878,68.8256097561,68.9913902439,69.154195122,69.3175121951,69.4863170732,69.6616341463,69.8474634146,70.0442926829,70.2516097561,70.4679268293,70.6907317073,70.9160243902,71.142804878,71.3725853659,71.606902439,71.8467560976,72.0901463415,72.3340731707,72.572,72.7964146341,73.0032926829,73.189097561,73.3533414634,73.4995365854
Greenland,,,,,,,,,,,,,,,,,,,63.4146341463,63.9548780488,63.4497560976,63.0748780488,63.1926829268,63.3,63.4665853659,63.8336585366,64.2487804878,64.6541463415,64.5824390244,64.6675609756,65.0682926829,65.0317073171,65.196097561,65.5853658537,65.9009756098,65.6441463415,65.7673170732,65.7980487805,66.1570731707,66.4034146341,66.9634146341,67.607804878,68.1626829268,68.4353658537,68.8068292683,69.2207317073,69.5192682927,69.9826829268,70.2134146341,70.467804878,70.8570731707,71.0624390244,71.2990243902,71.8304878049,,
Guatemala,46.7014634146,47.2193170732,47.7501707317,48.296,48.8568292683,49.4366585366,50.0354878049,50.6488292683,51.2701707317,51.8929756098,52.5047317073,53.094902439,53.6564390244,54.1853414634,54.6816097561,55.1457317073,55.5847560976,56.0076829268,56.4270731707,56.8499268293,57.2827317073,57.7310243902,58.1942926829,58.6720243902,59.1642195122,59.6698780488,60.1829756098,60.7010243902,61.2200487805,61.7396097561,62.2637804878,62.7991463415,63.3482682927,63.9116829268,64.4869268293,65.0665121951,65.6444146341,66.212097561,66.7614634146,67.2834634146,67.7710243902,68.2165853659,68.6211219512,68.991097561,69.3314878049,69.6543414634,69.9756829268,70.3055853659,70.6510487805,71.0126097561,71.3862195122,71.7588536585,72.1184634146,72.4540243902,72.7620243902,73.0429756098
Guam,61.2263414634,61.7252926829,62.219195122,62.707,63.1862439024,63.6574146341,64.1190243902,64.5715853659,65.0141463415,65.4467073171,65.8673170732,66.2754878049,66.6707317073,67.0530487805,67.4224390244,67.778902439,68.1224146341,68.4544390244,68.7754878049,69.0875121951,69.3905365854,69.6865365854,69.9755365854,70.2585365854,70.5355365854,70.8065365854,71.0680487805,71.3200731707,71.5645853659,71.804097561,72.044097561,72.2876097561,72.5400731707,72.8045365854,73.0839512195,73.3813170732,73.6991707317,74.034,74.3822926829,74.7384878049,75.0975121951,75.4512195122,75.7950731707,76.1251219512,76.4389756098,76.7403414634,77.0324634146,77.3210487805,77.6102439024,77.8990243902,78.1828536585,78.4565609756,78.7143902439,78.9536341463,79.1737317073,79.3776341463
Guyana,60.2787317073,60.462097561,60.647,60.830902439,61.0122926829,61.1871707317,61.3484878049,61.4932439024,61.6193902439,61.7273902439,61.8182195122,61.8958292683,61.9667073171,62.0348536585,62.103804878,62.1756097561,62.249804878,62.3259512195,62.4025853659,62.4797317073,62.5548292683,62.6278292683,62.6966829268,62.762902439,62.8280731707,62.8952926829,62.9682195122,63.0495121951,63.1422195122,63.247902439,63.3675609756,63.5021707317,63.649097561,63.8047560976,63.9670487805,64.1334634146,64.3009268293,64.4664634146,64.6280487805,64.7836341463,64.931195122,65.0697073171,65.2006585366,65.3250731707,65.4429268293,65.5532439024,65.6565365854,65.7538292683,65.8466097561,65.9368292683,66.0264146341,66.1187804878,66.2158780488,66.3176585366,66.4261463415,66.5393658537
High income,68.4976830222,68.8823819853,68.8618165058,69.0763993128,69.4821293794,69.5955056601,69.8646857031,70.0951615028,70.0395810083,70.244660998,70.5713195422,70.8517003927,71.1464750039,71.3171882269,71.7293835654,72.0765082064,72.3350532054,72.6865996143,72.8443160936,73.1699520397,73.1968813345,73.5545758436,73.8807269072,73.9839073553,74.268424923,74.3899370041,74.6366713401,74.9119228196,75.0256513859,75.2744238439,75.431639197,75.6048800934,75.8615244937,75.9429343043,76.2271993056,76.2924452815,76.6664407285,76.9991860311,77.1836061201,77.3382088366,77.6167826873,77.913275127,78.0553731398,78.1797977043,78.6009415754,78.6984245399,79.0026946421,79.2350861075,79.3833913406,79.6603073922,79.8421817359,80.0819466323,80.1979679199,80.3808347029,80.6148383077,80.7413096906
"Hong Kong SAR, China",66.9616829268,67.5487560976,68.1059756098,68.6258536585,69.1043658537,69.5428780488,69.9462195122,70.3257804878,70.6905365854,71.0445609756,71.3865121951,71.4585365854,71.456097561,72.1097560976,72.612195122,73.3682926829,72.8195121951,73.3195121951,73.5756097561,73.6731707317,74.6731707317,75.3243902439,75.4292682927,75.2756097561,76.0292682927,76.4341463415,76.6853658537,76.8829268293,77.0829268293,77.0292682927,77.3804878049,77.8829268293,77.6780487805,78.0317073171,78.5292682927,78.6829268293,79.6268292683,80.1268292683,80.1317073171,80.3829268293,80.8780487805,81.4243902439,81.4780487805,81.3292682927,81.7804878049,81.5804878049,82.3756097561,82.3268292683,82.3756097561,82.7756097561,82.9780487805,83.4219512195,83.4804878049,83.8317073171,83.9804878049,84.2780487805
Honduras,46.2883170732,46.9638780488,47.6329512195,48.289,48.9279756098,49.5473658537,50.1476585366,50.7373902439,51.3246341463,51.9148780488,52.5151463415,53.1329512195,53.7708292683,54.4307560976,55.1152439024,55.8232926829,56.554902439,57.3030487805,58.0637317073,58.8329268293,59.6121219512,60.4058536585,61.2120731707,62.024804878,62.8315365854,63.6137560976,64.3509512195,65.0301463415,65.6452926829,66.1944390244,66.6890487805,67.1436341463,67.579195122,68.0087560976,68.436804878,68.8583902439,69.2615121951,69.6307073171,69.9589756098,70.245804878,70.494195122,70.7121219512,70.9110487805,71.1029512195,71.2928292683,71.4821707317,71.6729756098,71.8592682927,72.0410243902,72.2182926829,72.3950487805,72.5727804878,72.754,72.9397073171,73.129902439,73.3246097561
Heavily indebted poor countries (HIPC),39.5600242422,39.9942980604,40.4210192429,40.8387976277,41.2478342079,41.6504481752,42.049979278,42.4500083082,42.8528418197,43.2591841329,43.6691494574,44.0823794565,44.4955531441,44.9045640314,45.3057576971,45.6944337303,46.065794028,46.418931788,46.7556362993,47.077945408,47.3908660822,47.7003115165,48.0087134467,48.3145062823,48.613222601,48.8912121426,49.131389371,49.3227043496,49.4632659034,49.5644769434,49.6498445041,49.7474974954,49.8789258652,50.0495052127,50.2515571268,50.4799417347,50.7371865619,51.0284318495,51.3601119773,51.7395529449,52.1774289871,52.6846242868,53.262927624,53.9068098497,54.6045592265,55.3408412292,56.0982636822,56.8566649158,57.5968036074,58.3038940152,58.9664668237,59.578606876,60.1465118121,60.6759374837,61.1672408363,61.6223618981
Croatia,64.6086585366,65.0155121951,65.4082439024,65.7878780488,66.1544390244,66.5120487805,66.8627804878,67.2087317073,67.5489268293,67.8813658537,68.2004878049,68.5016341463,68.7787317073,69.0292439024,69.2527073171,70.0019512195,70.4553658537,70.7443902439,70.5387804878,70.4273170732,70.1753658537,70.3443902439,70.4826829268,70.2748780488,70.2185365854,70.886097561,71.4190243902,71.4702439024,71.4882926829,71.8446341463,72.1704878049,72.1853658537,71.2414634146,71.5224390244,71.8034146341,72.0843902439,72.3653658537,72.4951219512,72.3170731707,72.6419512195,72.807804878,74.5129268293,74.7173170732,74.613902439,75.5202439024,75.2446341463,75.8368292683,75.7056097561,75.912195122,76.1682926829,76.4756097561,76.7756097561,76.9243902439,77.1268292683,77.4780487805,77.2756097561
Haiti,42.100097561,42.6839512195,43.263804878,43.836195122,44.3985853659,44.9420487805,45.4586097561,45.9422926829,46.3910731707,46.8083902439,47.1996585366,47.5767073171,47.9484878049,48.3234634146,48.7041707317,49.0872682927,49.4649512195,49.8278780488,50.1736585366,50.5042926829,50.8282439024,51.1568536585,51.5004634146,51.863902439,52.2476097561,52.6475365854,53.0536829268,53.4546341463,53.8429512195,54.2136829268,54.5693170732,54.9144146341,55.2559512195,55.5984634146,55.9405121951,56.2756585366,56.5949512195,56.892902439,57.1690243902,57.4262682927,57.6760487805,57.9297804878,58.1993658537,58.4952439024,58.8209268293,59.1794634146,59.5699268293,59.9824146341,60.4065365854,60.8337804878,61.253195122,61.6552439024,62.0343658537,62.388,62.7131463415,63.0107804878
Hungary,68.0031707317,68.936097561,67.8658536585,68.8741463415,69.3809756098,69.0712195122,69.8224390244,69.4070731707,69.2302439024,69.3146341463,69.1646341463,69.0524390244,69.6646341463,69.5180487805,69.2480487805,69.29,69.5731707317,69.8480487805,69.393902439,69.6153658537,69.0617073171,69.1392682927,69.357804878,68.9736585366,69.0258536585,68.972195122,69.1734146341,69.6512195122,70.0234146341,69.4617073171,69.3156097561,69.3770731707,69.1170731707,69.1012195122,69.4697560976,69.7917073171,70.3287804878,70.7024390244,70.557804878,70.6770731707,71.2463414634,72.2487804878,72.3487804878,72.3,72.6487804878,72.6487804878,73.0975609756,73.1512195122,73.7024390244,73.9048780488,74.2073170732,74.8585365854,75.0634146341,75.5658536585,75.7634146341,75.9609756098
IBRD only,48.702652918,49.2225748377,49.8218911897,50.5603784606,51.4258933491,52.3991745601,53.4136467821,54.4129891134,55.3791309231,56.2386120967,57.0357720421,57.7380092444,58.3833155034,58.9934597092,59.5838845919,60.1000412529,60.6148274308,61.0900850952,61.5356393914,61.9345293774,62.3063401801,62.6783660357,63.032097452,63.341425376,63.6246049814,63.951701046,64.3237635181,64.6244203301,64.9157985724,65.1822241709,65.4417589832,65.6905325235,65.8939548314,66.0829383531,66.3351345228,66.6224719233,66.9614312707,67.3187013808,67.6518286922,67.9384202636,68.2518824468,68.5757903556,68.87857596,69.1816035309,69.4976425471,69.786312749,70.1144379735,70.4252394827,70.7141784371,71.0254852505,71.3069630399,71.6025065173,71.8615318731,72.1158974312,72.3433563506,72.5554402217
IDA & IBRD total,47.5739380927,48.0849357202,48.6674876335,49.3699355129,50.1755888134,51.0665886823,51.9861335073,52.884080632,53.7462726227,54.5134778635,55.224755546,55.8566931099,56.4426112821,57.0030975393,57.5511925033,58.0418336807,58.5353956255,58.9981027053,59.4361129285,59.8334043698,60.2040195367,60.5724502816,60.9208014765,61.2281283309,61.5091929309,61.8200682036,62.1604303746,62.4360328909,62.6960509306,62.9315836897,63.1554120958,63.3723527709,63.5447609797,63.7108790724,63.9301232845,64.1812538551,64.4775483996,64.7960530961,65.0908140495,65.3584950141,65.65701,65.9685486512,66.2728738254,66.5878835905,66.9222126927,67.2427935211,67.5990367401,67.9441479745,68.2713474356,68.6116932192,68.9219793117,69.2351110739,69.5135759405,69.7821004409,70.0240292162,70.2484202847
IDA total,41.9144358066,42.4569579139,42.997967338,43.5354653677,44.065052298,44.5744892719,45.0496358448,45.4817609857,45.8689397417,46.2152367013,46.5342606047,46.8463883787,47.1712678307,47.5233255272,47.9097793701,48.3352776664,48.798027486,49.2827206193,49.7706642341,50.2466085168,50.6995155015,51.1609297648,51.5666585867,51.9466099586,52.3050035327,52.6322326348,52.9214287101,53.1748692372,53.3872452537,53.5844090148,53.7586334318,53.9290462609,54.107078119,54.2931689889,54.4939609135,54.7147659426,54.9578886979,55.2193010451,55.4966915644,55.8036916949,56.1446972845,56.5292892389,56.9590510164,57.4344964944,57.9493469742,58.4937830278,59.0573117966,59.6274961127,60.1882596711,60.7266635354,61.2331003052,61.7024604986,62.1376026157,62.5437843426,62.9223725788,63.2750735075
